prompt,refs_0,refs_1,refs_2
Advertisement is typically used for promoting business. What makes this possible? ,You pay for an advertisement.,The business is open.,You have a billboard.
Room are typically used to hold meeting. What makes this possible? ,The people are in room.,You have to discuss something important.,You have a job.
Glasses can typically be used to read fine print. What makes this impossible? ,The lenses are cracked.,You are blind.,The glasses are for far sightedness.
Leather are typically used to make shaving strop. What makes this possible? ,You are a skilled craftsman who knows how to make a shaving strop.,You have a leather shop.,You want to shave your beard.
Machine are typically used for vend change. What makes this possible? ,You have cash.,The machine accepts cash.,You are using a dollar.
Fur can typically be used to make furcoat. What makes this possible? ,The animal is dead.,You know how to sew.,There are animals to use.
Restaurant table can typically be used to eatign. What makes this impossible? ,You do not have a reservation.,Restaurant is closed.,The table is being used.
Pail are typically used for carrying things. What makes this impossible? ,Pail has a hole.,The bucket has a hole in the bottom.,The pail has a hole in it.
Running twenty six miles are typically used for becoming healthy. What makes this possible? ,You exercise regularly.,You are training for a marathon.,You are healthy and fit.
Dining table can typically be used to eat dinner on. What makes this possible? ,You are sitting at the table.,You have food.,You are sitting at the table.
Soldier can typically be used for killing. What makes this impossible? ,The soldier works an office job for the military.,The soldier is unarmed.,The soldier is helping their own community.
Jewelry are typically used to make women happy. What makes this impossible? ,You buy women cheap jewelry.,The jewelry looks ugly.,Jewelry is cheap.
Glasses is typically used to hold beverages. What makes this possible? ,The glasses hold eight liquid ounces each.,The liquid is in the glass.,The glass is upright.
Salon is typically used for getting pedicure. What makes this impossible? ,You are there after the salon closes.,The workers are sick.,Salon is closed.
Money are typically used for buying. What makes this possible? ,I purchase a lot of buying.,You like shopping.,You have money available.
Vegetable garden can typically be used for growing food. What makes this impossible? ,The soil is infertile.,"In the winter, the garden produces no food.",The ground is bad for growing.
Queen can typically be used for people. What makes this impossible? ,You are female.,,
Tablespoon can typically be used for serving food. What makes this possible? ,The tablespoon is clean.,You need to measure out the oil for the dish.,He serves soup.
Line can typically be used to move train along tracks. What makes this possible? ,The train is running.,You have to travel by a train.,Train is running on schedule.
Climbing can typically be used for reaching top of. What makes this possible? ,Your limbs are fully functional.,You have a ladder.,You are climbing up a hill.
Doorway can typically be used to enter or exit building. What makes this impossible? ,Doorway is locked.,The doorway is locked.,The door in the doorway is locked.
Student is typically used for teaching. What makes this possible? ,The student has passed their exams and knows enough to teach.,The student has a teacher.,You are enrolled in school.
Creature are typically used to reduce amount of labor. What makes this impossible? ,The creature is asleep.,The creature is too weak.,
Salad bowl can typically be used to eat salad from. What makes this possible? ,The salad bowl is upright.,We are having dinner on dining table.,The salad is in the bowl.
Skating are typically used for pleasure. What makes this possible? ,You have a skateboard.,Skating rink is open.,You are at a skating rink with friends.
Debit card can typically be used for breaking in through locked doors. What makes this impossible? ,Door has good lock.,If i have to credit card.,
Gong can typically be used for gonging on gong show. What makes this possible? ,You buy ticket to gong show.,You have a stick.,
Electronic appliance is typically used for making things easier to do. What makes this impossible? ,Electronic appliance is faulty.,Electrical appliance is turned off.,The electricity is out.
Meat are typically used to feed dog. What makes this possible? ,The meat is fresh and juicy.,The dog is hungry.,The dog is hungry.
Committing suicide can typically be used for making family very sad. What makes this possible? ,You are loved by your family.,You have a loving family.,Suicide is completed.
Can of paint can typically be used to paint. What makes this impossible? ,The paint can is empty.,Can of paint has dried.,The can of paint is empty.
Riding bicycle are typically used as part of triathalon. What makes this impossible? ,Your bike is broken.,You are out of shape.,Nobody participates in the triathlon.
You can typically use parking lot for temporary parking of vehicle. What makes this possible? ,Parking lot has open spaces.,You parked to go shopping.,The parking lot has room.
Making phone call can typically be used for calling. What makes this possible? ,The other person answers their phone.,You have paid your bill.,You have phone minutes.
Place to stay can typically be used for resting. What makes this possible? ,If there is a bed.,You are on vacation.,The bedroom is where she sleeps.
Tub are typically used for cleaning. What makes this possible? ,You have water in the tub.,The tub has a stopper.,Children take nightly baths.
Tablespoon can typically be used for serving food. What makes this impossible? ,The tablespoon is dirty.,You are just eatting bread.,She serves salad.
Carpet is typically used by fleas to hide in. What makes this possible? ,The fleas are in the carpet.,You have a pet.,The fleas are small.
Bone can typically be used for giving body structure. What makes this possible? ,Bones make it possible to stand upright.,You walk down the street with your bones.,You are an adult.
Organ is typically used for playing organ music. What makes this possible? ,The organ has an organist.,The organ is played by someone.,Organ is played by musician.
Shoe are typically used in foot fashion. What makes this possible? ,You own shoes.,You wear trendy shoes.,The shoe is fashionable.
Key are typically used for getting in to house. What makes this possible? ,You turn the key in the lock.,Door is locked.,You have the correct key for the given lock.
Cloth are typically used for holding items. What makes this impossible? ,Cloth has holes in the fabric.,"The item is too heavy to be held, like a car.",The items are too sharp to be held by cloth.
Painting are typically used for becoming more distinctive. What makes this impossible? ,The paint is dried in the container.,,
Sending e mail can typically be used for chatting. What makes this possible? ,Your internet connection is working.,You have a computer.,You have internet.
Eye can typically be used for sending visual signals to brain. What makes this possible? ,Your eyes are open.,Your eyes are open.,Your eye is intact.
Buying food can typically be used as having food to prepare. What makes this impossible? ,The store is closed.,All of the food is rotten.,Food is uncooked.
Dirty dishes can typically be used when consuming food. What makes this possible? ,You eat off of dishes.,You eat the food off the dirty dish.,There is open room on the dirty dishes.
Eating ice cream are typically used for reducing hunger. What makes this possible? ,There is ice cream in the freezer.,I am hunger.,You have a stomach.
Chest can typically be used for storing things. What makes this impossible? ,Your chest is full.,The chest is full.,The chest is closed and locked.
Lantern is typically used to shed light. What makes this possible? ,The lantern has enough oil to work.,The lantern is lit.,Lantern has enough oil.
Bathroom with toilet are typically used for urinating. What makes this impossible? ,You are camping.,The bathroom is occupied.,The bathroom is locked.
Keeping things orderly and tidy are typically used by being anal retentive. What makes this impossible? ,There is a mess in the house.,You let your apartment get dirty.,
Room are typically used to hold meeting. What makes this impossible? ,The door to the room is locked.,You have to  oraganise a large meeting.,You are unemployed.
Having nervous breakdown are typically used for frightening others. What makes this possible? ,You have a breakdown in a public place.,You are stressed.,You want to make someone fearful.
Running in marathon are typically used for reaching goal. What makes this impossible? ,You are out of shape.,You are out of shape.,We have no legs.
Fountain pen can typically be used by collectors of writing instruments. What makes this possible? ,Fountain pen has ink.,If i am a writer.,
Saucepan are typically used for cooking hash. What makes this possible? ,The pan is on the stove.,You have a working oven.,The sauce pan is hot.
Transit card are typically used for transit. What makes this possible? ,The transit card has enough money on it to buy a ticket.,You have money on the transit card.,
Skating are typically used for entertainment. What makes this possible? ,There is a skating rink nearby.,You are at the skate park.,You are wearing the skates.
Giving assistance are typically used for alleviating pain. What makes this impossible? ,Their pain is untreatable.,You are unfamiliar with giving medical care.,
Dollar bill is typically used for betting. What makes this impossible? ,You are not in america.,You run out of money.,Betting is illegal in your area.
Playing baseball are typically used for earning money. What makes this impossible? ,You are a child.,You are a casual baseball player.,He is a college baseball player.
Card can typically be used when saying get well. What makes this possible? ,You write a card.,You are feeling sick.,
Court can typically be used for standardizing legal process. What makes this possible? ,You make a lawsuit.,You are involved in legal issue.,
Getting good grade are typically used for getting into university. What makes this possible? ,You apply to universities.,You make good grades.,You apply to the university with your good grades.
Paper bill can typically be used for consolidating quantity. What makes this impossible? ,You have a small amount of coins only.,,
Bathing can typically be used for getting comfortable. What makes this impossible? ,The water is ice cold.,The bathtub is dirty.,The bath water is freezing cold.
Aisle can typically be used for showing goods. What makes this possible? ,The store is open.,You are in shopping centre.,There are shelves in the aisle.
Condominium can typically be used for sleep in. What makes this possible? ,There is a bed in the condo.,If i am sleeping.,You rent or own a condo.
Air conditioning can typically be used for reducing temperature. What makes this impossible? ,I have no control.,The air conditioning is broken.,It is very cold .
You can typically use bbq to cook meat or other food outside. What makes this possible? ,The bbq is full of hot coals.,You have charcoal.,The bbq is lit.
Luggage trolley can typically be used for storing luggage. What makes this impossible? ,The luggage trolley is tipped over.,You are staying home.,The luggage trolley is locked.
Driving car are typically used when going to work. What makes this possible? ,The car has gas.,You have a job.,You have your own car.
Stepladder can typically be used to prune tree. What makes this impossible? ,The stepladder is too short.,The stepladder is too short.,The ladder has a rung missing.
Maintaining muscle strength are typically used for getting stronger. What makes this impossible? ,You have a health condition like cerebral palsey.,You are sedentary.,You are bedridden.
Going to pub can typically be used for having drink. What makes this possible? ,Pub is open on the weekends.,You want to go for a hang out.,You are an adult.
Barber comb can typically be used for haircuts. What makes this possible? ,You are at a barber shop.,You have short hair.,You have straight hair.
Love seat are typically used for sitting cl cto loved one. What makes this impossible? ,You are standing up.,The leg of the love seat is broken.,
Finger can typically be used to move out of view. What makes this possible? ,The object being moved is light.,You can slide your finger to move the object.,
Body is typically used for walking. What makes this possible? ,You have a healthy body.,You have legs.,You have your sneakers on.
Going to pub are typically used for losers. What makes this impossible? ,Going to a pub for an event.,,
Being in charge of project are typically used as being efficent. What makes this possible? ,You have experience doing the project.,You understand the project.,You are in a management position.
Playing guitar are typically used when enjoying other people's company. What makes this impossible? ,You are alone.,You have taken piano lessons.,You are in a quiet area.
Passage can typically be used for moving about. What makes this possible? ,Passage is open.,The passage is open.,
Writing are typically used for fun. What makes this impossible? ,Your pencil is broken.,You write for work.,The writing is interesting.
Knives can typically be used to perform autopsy. What makes this possible? ,A person has died.,The knife is used to dissect the body.,The knife is sharp.
Corner cupboard are typically used for storing dry goods. What makes this impossible? ,Your kitchen is full.,The cupboard is full of other goods.,The corner cupboard is full.
Talking with far away are typically used for keeping in touch. What makes this possible? ,She keeps in touch with a phone.,You have a telephone.,You have an internet connection.
Milky way can typically be used for filing northern sky. What makes this impossible? ,You have a telescope to look at the sky.,,
Cannonball are typically used for arming cannon. What makes this possible? ,There is a war.,You have a cannon and cannonballs.,You are in a war and know how to operate a cannon.
Duck can typically be used to make duck curry. What makes this impossible? ,The duck is alive.,The duck is still alive.,Your kitchen power is off.
Safety can typically be used to prevent accidental firing of weapon. What makes this impossible? ,The weapon has been tampered with.,You forget to use the safety.,You leave the safety off your gun.
Language are typically used to teach children. What makes this impossible? ,He does not understand language.,You are around adults instead of children.,Children are deaf.
You can typically use howling with laughter for cheering up. What makes this impossible? ,You are at a funeral.,You feel depressed.,
Luggage trolley can typically be used to move bags. What makes this possible? ,Luggage trolley is sturdy.,The bags are on the trolley.,Your bags fit on the trolley.
Control room can typically be used for managing airspace around airport. What makes this possible? ,Airport is open.,The control room is staffed.,The control room has electricity.
Having conversation are typically used for pleasure. What makes this possible? ,You are social.,You are talking to a friend.,You talk about an ejoyable topic.
Shirt can typically be used to keep from cold. What makes this possible? ,You live in a cold area.,You have on long sleeves.,Climate is cold.
Riding bicycle can typically be used for getting places. What makes this possible? ,It is a nice day outside.,You live in a bike friendly city.,You are participating in cycling competition.
Buying small are typically used as gift. What makes this possible? ,You have money to buy the present.,,
Learning is typically used for money. What makes this impossible? ,I have no learning.,The knowledge you learn is useless.,Classes cost you money.
Reading magazine can typically be used for entertainment. What makes this possible? ,The magazine is delivered to your home.,Reading magazine by the pool.,You purchase a magazine.
Dining table can typically be used to eat dinner on. What makes this impossible? ,It is not time to eat.,The dining table is occupied.,The table is empty.
Flying in airplane are typically used for comfort. What makes this possible? ,You are at an airport.,You are flying first class.,The airplane has seats.
Condominium can typically be used for sleep in. What makes this impossible? ,The condo is condemned.,I working.,You live in an apartment.
Going for haircut are typically used for impressing girl. What makes this impossible? ,The hairdresser did a bad job.,The girl is blind.,You are bald.
Breathing fresh air are typically used for overcoming shortness of breath. What makes this impossible? ,You are away from fresh air.,You have asthsma.,You have coronavirus.
Seeing artifacts are typically used when questioning past. What makes this impossible? ,Church teachings discount science.,,
Finger can typically be used for testing for interior contents. What makes this impossible? ,Your finger is numb.,,
Having lunch are typically used for social interaction. What makes this possible? ,You invite friends to join you.,You eat lunch with other people.,You have friends.
Standing in queue are typically used for obtaining which one wants. What makes this impossible? ,You have a limited amount of time to wait.,The stock runs out.,
Toothpaste are typically used to clean teeth with toothbrush. What makes this possible? ,We have a toeeth.,The toothbrush is clean.,You have teeth.
Hearing singing are typically used for auditory enjoyment. What makes this impossible? ,You are deaf.,You are deaf.,The person is deaf and therefore unable to hear the singing.
Nets are typically used to collect insects. What makes this impossible? ,Net has a hole.,You are inside.,There is a hole in the net.
Writing term paper are typically used for passing course. What makes this possible? ,You are a good writer and have time to write a great term paper.,You are in school.,You are in school.
Dyes is typically used to colour fabrics. What makes this possible? ,You have something to dye.,You want to make a colourful shirt.,We have colour fabrics.
Showroom can typically be used for displaying specialty items. What makes this impossible? ,The showroom is full.,The store has gone out of business.,Showroom is closed.
Chess board can typically be used for putting chess pieces on. What makes this possible? ,The chess board is upright.,You are playing chess.,You are playing chess.
Silverware can typically be used for eating in western society. What makes this possible? ,You have clean silverware.,The silverware is clean.,You are in western society.
Ocean is typically used to sail upon. What makes this impossible? ,You are on land.,The ocean is very wavy.,There there is insufficient wind.
Eyeglasses case are typically used for protecting eyeglasses not in use. What makes this possible? ,You are storing eyeglasses for later use.,You wear glasses.,The case has room.
Health food store can typically be used to buy herbs. What makes this impossible? ,The health food store is sold out of herbs.,You are at home.,The store is closed.
Guitar can typically be used for singing with. What makes this impossible? ,The strings on the guitar are broken.,You are playing an instrumental song.,You sing a capella.
Mini bar can typically be used for providing snacks in hotel room. What makes this possible? ,You are in the room.,We are in the hotel.,You are at a hotel.
Riding bicycle are typically used by certain athletes with strong legs. What makes this impossible? ,The bicycle has a flat tire.,You have weak legs.,
Surfing web can typically be used for knowledge. What makes this possible? ,Available interet.,Information is available.,You want to explore the world.
You can typically use howling with laughter for cheering up. What makes this possible? ,You are hanging out with friends.,You are amused.,
Self adhesive label are typically used when attaching to things to identify. What makes this possible? ,You have large things to put in order.,You are using paper products.,You write the name of the object to identify.
Eating in restaurant are typically used when discussing business deal with others. What makes this possible? ,You have a professional business relationship.,You are with your coworkers in a working lunch talking about business.,The restaurant is open.
Standing in queue are typically used for obtaining which one wants. What makes this possible? ,You have patience.,There is still enough stock.,
Playing sport are typically used for enjoyment. What makes this possible? ,You are athletic.,You enjoy sports.,You have sports equipment.
Maintaining good health are typically used for optimal functioning of mind and body. What makes this possible? ,You take care of your body.,You work out.,You go for a jog.
Communicating can typically be used for sharing memes. What makes this possible? ,You use social media.,You communicate over the internet.,The internet is connected.
Going public are typically used for making announcement. What makes this possible? ,There is an audience.,The press is watching you.,There exists a platform by which the individual may go public.
Bed can typically be used for fucking in. What makes this possible? ,You and your partner are together.,You are in a bedroom.,There are two people together in the bed.
Dining room table can typically be used to eat dinner on. What makes this impossible? ,You eat at a restaurant.,She has a puzzle spread out on the dining table.,I was sleeping.
Business can typically be used for making products. What makes this possible? ,The business is open.,Your business has customers.,You have a factory to produce products in.
Action figure are typically used for play. What makes this impossible? ,The action figure is being displayed in the package.,You are a collector of action figures.,You are not awake.
Carpet is typically used by fleas to hide in. What makes this impossible? ,The carpet is too short.,You have hardwood floor.,The carpet is cleaned by exterminators.
Rocking chair can typically be used for sitting down on. What makes this impossible? ,Someone else is sitting on it.,The rocking chair is upside down.,The chair is weak.
Running is typically used for losing weight. What makes this possible? ,You lose weight by running.,You are overweight.,You run a lot.
You can typically use repairing umbrella for protection from rain. What makes this impossible? ,The umbrella works fine.,The umbrella is already repaired.,You live in a sunny area.
Chess board can typically be used for playing chess. What makes this impossible? ,You are missing pieces.,The chess board is put away.,You have lost some of the pieces.
Flashlight is typically used for seeing in dark. What makes this possible? ,The flashlight has batteries.,Flashlight has batteries.,There are batteries in the flashlight.
File can typically be used for shape. What makes this possible? ,You file your nails.,The file is sharp.,
Cash token can typically be used for making wish. What makes this possible? ,Cash token is lost.,You are at a wishing well.,You throw it in a well.
Light is typically used as light. What makes this impossible? ,You forgot to pay your electric bill.,Light source is turned off.,
Attending rock concert are typically used for entertainment. What makes this impossible? ,You hate rock music.,Attending rock concert is canceled.,Rock concert sells out before you get ticket.
Vegetable garden can typically be used for growing food. What makes this possible? ,You have fertile soil.,The garden produces food all summer.,You plant seeds in the garden.
Pork butcher can typically be used to kill pigs. What makes this possible? ,There was a pig in the pork buthcher.,The pigs are adults.,The pork butcher has pigs to kill.
Interstate highway can typically be used for shooting action movies. What makes this impossible? ,The interstate highway is in use.,There are cars driving on the interstate highway.,Traffic is backed up.
Glass fronted display cabinet can typically be used to show collection. What makes this possible? ,You keep the glass clean.,The collection is inside the cabinet.,You have a collection to show.
Skin can typically be used for keeping guts in. What makes this impossible? ,You are dead.,You have been sliced open.,You are ugly.
Interior area can typically be used for gathering. What makes this impossible? ,You are outside.,There is no open space in the interior area.,You are introverted.
Office building can typically be used for work in. What makes this impossible? ,Office building is closed.,The office building is condemned.,The office building is closed.
Going to hairdresser are typically used for having hair styled. What makes this possible? ,You have long hair.,You have money to pay the hairdresser.,You pay the hairdresser.
Going to sleep are typically used for regenerating body. What makes this impossible? ,You are not tired.,You are not comfortable.,You woke up and already slept.
Plane ticket are typically used when travelling. What makes this impossible? ,You are stuck at the airport.,You are travelling by boat.,The plane ticket is invalid.
Door with lock can typically be used to protect inside room. What makes this impossible? ,The door is easily kicked off its hinges.,The lock is picked.,The lock is broken.
Broom can typically be used to sweep. What makes this impossible? ,The broom handle is broken.,The handle is broken.,Area is already clean.
Can of soda can typically be used for drinking with pizza. What makes this possible? ,You order a pizza.,The can of soda is opened.,You like eating fast food.
Row can typically be used for propulsion. What makes this possible? ,You are sitting in a boat.,You are in a boat.,You are in a canoe.
Board are typically used for sale at lumber yard. What makes this possible? ,Lumber is readily available.,You find the board you want to buy.,Lumber yard is open.
Computer is typically used in computing. What makes this impossible? ,The computer is unplugged.,Wire of computer is detached.,Computer is off.
Viewing film at home are typically used for understanding new topic. What makes this possible? ,You have a device to watch the film.,You view the whole film.,You watch a documentary.
Cotton are typically used for thread. What makes this possible? ,You have a spinning machine.,The cotton has been spun.,The cotton has been picked.
Cold storage are typically used to keep furs. What makes this impossible? ,Cold storage is too warm for fur.,The cold storage is broken.,
String are typically used to tie know. What makes this possible? ,You know how to tie knot.,,
Altar can typically be used as place to pray. What makes this possible? ,You are in a church.,Altar is in church.,The church is open.
Container cup are typically used for holding gases. What makes this impossible? ,The container cup is open.,Container is open.,The container cup has a hole.
Debating politics are typically used for convincing of opinions. What makes this possible? ,You have a friendly debate.,People with opposing views are considering new perspectives.,You are talking politics with someone who disagrees with you.
Signing contract are typically used for completing partnership. What makes this impossible? ,You are unemployed.,Contract is not ready.,The contract is invalid.
Running in marathon are typically used for reaching goal. What makes this possible? ,You have been working out.,You are fit and exercise.,We participate in marathon.
Eye can typically be used for sending visual signals to brain. What makes this impossible? ,You are sleeping.,Your eyes are closed.,You are blind.
Thumb tack are typically used to pin picture to wall. What makes this impossible? ,The tack is bent.,You are outside.,The wall is too hard.
Memorising can typically be used in plays. What makes this possible? ,You know all your lines.,An actor has had rehearsed a play.,She memorizes her lines.
Bag are typically used for transport. What makes this possible? ,The bag is a backpack.,The bag has things in it.,Your bag is empty.
Highway can typically be used for commuting. What makes this possible? ,The highway has no obstructions.,You have a car.,You own a working car.
State highway are typically used for driving. What makes this impossible? ,The highway is closed.,Highway is in bad condition.,Traffic has blocked highway.
Supermarket can typically be used for buying lettuce. What makes this possible? ,The supermarket stocks lettuce.,You are shopping for produce.,Supermarket has lettuce in stock.
File can typically be used for shape. What makes this impossible? ,The file is paper and used for storing paperwork.,The file is dull.,
Boat can typically be used when traveling across english channel. What makes this impossible? ,The boat is away from water.,There is a storm that makes the waters too choppy.,The boat is docked.
Saucepan are typically used for cooking hash. What makes this impossible? ,The food is in the bowl.,Your gas is turned off for the stove.,The saucepan is dirty.
Going to market are typically used when buying soaps made of natural ingredients. What makes this possible? ,You are at a farmers market.,You go to natural market.,
Seeing band are typically used for enjoying social outing. What makes this impossible? ,Coronavirus is present.,You are going to see the band alone.,You stay home.
Metal can typically be used for casting. What makes this possible? ,You are a blacksmith.,You are a metal worker.,The metal is molten.
Eraser holder are typically used for keeping eraser handy. What makes this impossible? ,The eraser holder is empty.,You run out of eraser.,The eraser is too big for the eraser holder.
Proposing to woman are typically used in aksing for marriage. What makes this impossible? ,You have another wife.,The two people in the couple are both men.,
Scissors glasses is typically used to hold scissors safely. What makes this possible? ,Scissors are being used.,,
Canvas can typically be used for gathering information. What makes this impossible? ,The canvas is blank.,No one is home in the neighborhood.,
Finger are typically used to pluck harp. What makes this possible? ,Finger is fine.,The strings are in tune.,A musician is performing a concert.
Going to market are typically used for fun. What makes this impossible? ,The market is closed.,The markets are closed.,You dislike shopping.
Stabbing to death can typically be used in assasins. What makes this possible? ,You are too much in anger.,You are a murderer.,
Playing basketball are typically used for relaxation. What makes this impossible? ,He plays for exercise.,The ball is flat.,If you do not have a basketball hoop.
Chest can typically be used for storing things. What makes this possible? ,You live in an apartment or house.,The chest has room.,The chest is empty.
Enjoying day are typically used for being happy. What makes this impossible? ,A loved one just died.,You have to go to work.,You are having a bad day.
Safety can typically be used to prevent accidental firing of weapon. What makes this possible? ,The weapon is in good condition.,The safety is put into place.,You take a gun safety class.
Line can typically be used to move train along tracks. What makes this impossible? ,The train is off the tracks.,You are going somewhere by areoplan.,Train station is closed.
Balloon are typically used for celebration. What makes this impossible? ,The balloons are popped.,Your party is outside and doesnt need balloons.,The balloons deflated before the party.
Pool can typically be used for drinking. What makes this possible? ,There is water in the pool.,There is water in the pool.,You have water in the pool.
Watching film can typically be used for acculturation. What makes this possible? ,You are watching a cultural film.,You have eyes.,A new movie just came out.
Camera can typically be used for taking photographs. What makes this impossible? ,The camera is out of batteries.,I dont have camera.,The lens is covered.
Climbing can typically be used when reaching peak. What makes this impossible? ,You are lame.,You are on a flat trail.,
Buffet can typically be used to eat lot of food. What makes this possible? ,You are hungry.,There are more dishes than a table will hold.,You paid for an all you can eat meal.
Going to mall are typically used for seeing friends. What makes this impossible? ,Mall were closed.,You are introverted.,The mall is closed.
Vegetable garden can typically be used for growing food for everyday cuisine. What makes this possible? ,You have fertile soil.,Fertilizer is needed to grow a vegetable garden.,You plant seeds.
Resting can typically be used for rejuvenation. What makes this impossible? ,Your bed is hard and bumpy.,We have lot of work.,You are at work.
Getting physical activity are typically used for bulding muscle. What makes this possible? ,You consume protein.,Physical activity is strenuous.,You eat enough calories to build muscle.
Hot faucet are typically used to make warm bath. What makes this impossible? ,The boiler is cold.,The water is cold.,The water is disconnected.
Braces is typically used to straighten teeth. What makes this impossible? ,You do not have the money for braces.,Your teeth are already straight.,Braces are expensive.
College can typically be used for learning new things. What makes this possible? ,You are enrolled in college.,You are a student.,You enroll in college.
Graveyard can typically be used as settings for horror movies. What makes this impossible? ,The graveyard is private and off limits.,The sun is shining.,
Yawn can typically be used for expressing boredom. What makes this possible? ,You are bored.,You are tired.,You are bored.
Sign are typically used for traffic directions. What makes this impossible? ,The sign has been defaced with graffiti making it impossible to read.,The sign is away from the road.,You take the subway.
Grooming are typically used for taking care of ones body. What makes this possible? ,You have a full beard.,You love your appearance.,You groom yourself often.
Debit card can typically be used to pay for things. What makes this impossible? ,The debit card is frozen.,The owner has no money on the card.,You are buying vegetables from street vendors.
Taking phone call can typically be used for receiving inquiry. What makes this impossible? ,Your phone is dead.,You are away from the phone.,You use the phone for fun.
Fitting room can typically be used for changing clothes. What makes this possible? ,You are at a store.,The fitting room is open.,There are customers.
You can typically use valley to pick flowers. What makes this possible? ,There are flowers in the valley.,There are flowers in the valley.,The valley is in flower season.
Answering questions are typically used for finding out answers. What makes this possible? ,You are curious about something.,You can ask a teacher your question.,You communicate with others.
Playing sport are typically used for working up healthy sweat. What makes this impossible? ,It is too hot out and thus your sweat is unhealthy.,You are dehydrated.,You are out of shape.
Starting family are typically used when having children. What makes this impossible? ,Family are unhappy.,Using contraception.,
Sewing are typically used for mending. What makes this possible? ,You have fabric with holes in it.,Sewing mends when there is a tear in the clothes.,You have a needle and thread.
Needle is typically used for embroidery. What makes this impossible? ,The needle is too dull.,Needle is dull.,The fabric does not fit in the needle.
Rocket are typically used in space exploration. What makes this impossible? ,The rocket is being built.,The rocket runs out of fuel.,The rocket is a toy.
Flying kite are typically used for relaxing. What makes this impossible? ,The weather is rainy.,You are indoors.,The air is still.
Taking car for drive can typically be used by people who have license. What makes this possible? ,You own a car.,You are over sixteen.,The car is running.
Eating can typically be used for sustaining life. What makes this possible? ,"You are eating nutritious food, like an orange.",If i have cook to meals.,You eat healthy food.
Maintaining muscle strength are typically used for getting stronger. What makes this possible? ,You exercise frequently.,You exercise.,You work out at the gym.
Pot are typically used for planting plant. What makes this impossible? ,Plants are very large.,The pot is too small for the plant.,Your pot has infertile soil.
Metal can typically be used for casting. What makes this impossible? ,The metal is corroded.,Casting ware is off.,The metal is solid.
Wedding ring can typically be used by bride or groom to wear. What makes this possible? ,The ring is the correct size for your finger.,The bride or groom has fingers.,You are married.
Bat can typically be used for defending yourself against intruder. What makes this impossible? ,You are alone.,You are asleep when intruder invades.,You are away from the bat.
Ticket slot can typically be used for placing ticket into. What makes this possible? ,You have a physical ticket.,I have ticket slot.,The ticket slot is clear.
Launch platfrom can typically be used to launch rockets or space shuttles. What makes this impossible? ,Launchpad is defective.,There is ice on the platform.,The rocket or space shuttle is unfueled.
Stopping bicycle are typically used for not getting run into. What makes this possible? ,The bicycle is moving.,The brakes are working.,You follow traffic rules.
Action figure are typically used to make poses. What makes this possible? ,Children are playing make believe.,The action figure has moveable arms.,The action figure can be customized.
Playing sport are typically used for enjoyment. What makes this impossible? ,You dislike sports.,You are out of shape.,You have a sports injury.
Lobby are typically used for rest. What makes this possible? ,You have a day off.,You are a guest at a hotel.,There are chairs in the lobby.
Fitting room can typically be used for changing clothes. What makes this impossible? ,Store is closed.,The fitting room is occupied.,The fitting rooms are all full.
Satchel bag are typically used to carry things. What makes this possible? ,The satchel bag is empty.,The bag is empty.,The satchel bag has things in it.
Key can typically be used for keeping things secure. What makes this impossible? ,The key does not fit the lock.,There is no lock.,You lose your keys.
Traveling can typically be used for pleasure and fun. What makes this impossible? ,You are careless about your trip.,You are at work.,You travel for work.
Buying beer can typically be used for over established age. What makes this impossible? ,You already had aspirine.,You are under age.,You are allowed to buy alcohol with parents permission.
Movie ticket are typically used for getting into theatre. What makes this impossible? ,Movie theatre is closed.,The movie ticket is for a different movie on a different day.,You are at your house.
Calendar pad can typically be used for scribbling notes. What makes this possible? ,You have a pen and can find your calendar pod.,You have a pen.,You have something to write with.
Dyes is typically used to colour fabrics. What makes this impossible? ,There is a hole in the fabric.,You need a white shirt.,We have no dyes.
Map are typically used to show cities towns and villages. What makes this possible? ,A cartographer has charted the area.,The area shown on the map has been explored.,Someone documented these locations.
Political contributions is typically used to influence politicians. What makes this possible? ,There is an election.,Politicians are given large gifts.,The politicians are corrupt.
Exercising can typically be used for practicing activity. What makes this impossible? ,You are disabled.,You exercise wrong.,
Answering questions are typically used by people with knowledge. What makes this possible? ,You know the answer.,It is used in book.,You know the answer to question.
Stall can typically be used as tactic used by defense lawyers. What makes this possible? ,The judge allows lawyers to stall.,The defense lawyer is waiting on test results.,The case is ongoing.
Washing clothes are typically used for making fresh again. What makes this possible? ,The clothes are dirty.,Your clothes are dirty.,Your washing machine still works.
Being in charge of project are typically used as being efficent. What makes this impossible? ,You are unqualified.,You are slow at the project.,You are unemployed.
Playing frisbee are typically used for getting outdoors. What makes this possible? ,There is a frisbee to hand.,You are in playground.,They are part of an ultimate frisbee league at the park.
Kissing can typically be used for showing lust. What makes this impossible? ,You give your dog a kiss goodbye.,You are alone.,You kiss someone else.
String can typically be used for hanging lights outdoors. What makes this impossible? ,The string is snapped.,The string breaks.,You live in an apartment.
Key chain can typically be used to keep keys together. What makes this possible? ,The key chain is functional.,The keys are on the chain.,The keys are on the key chain.
Union can typically be used to keep employment practices fair. What makes this impossible? ,You leave the union.,Union is run badly.,The union is corrupt.
Fencing are typically used in developing discipline. What makes this possible? ,You practice fencing a lot.,You attend practice.,
